********************************************************************************
LOGGING TIME: 20201001_163822
CLIENT IP: 192.168.1.101
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 1269, 78, 8
MM, 1247, 89, 8
MM, 1228, 98, 8
MM, 1208, 110, 4
MM, 1191, 121, 9
MM, 1178, 130, 4
MM, 1167, 139, 8
MM, 1161, 146, 8
MM, 1156, 152, 4
MM, 1154, 159, 8
MM, 1152, 164, 8
MM, 1151, 167, 8
MM, 1151, 169, 8
MM, 1152, 171, 4
MM, 1152, 172, 8
MM, 1154, 174, 8
MM, 1156, 177, 8
MM, 1160, 178, 4
MM, 1163, 180, 8
MM, 1169, 182, 8
MM, 1178, 185, 9
MM, 1154, 212, 189
MM, 1135, 237, 4
MM, 1121, 252, 8
MM, 1111, 264, 9
MM, 1103, 277, 8
MM, 1093, 288, 4
MM, 1085, 297, 8
MM, 1081, 303, 8
MM, 1076, 309, 8
MM, 1073, 312, 4
MM, 1071, 314, 8
MM, 1069, 316, 8
MM, 1069, 316, 8
MM, 1069, 316, 4
MM, 1069, 317, 8
MM, 1069, 317, 16
MM, 1069, 317, 4
MM, 1070, 317, 8
MM, 1070, 317, 8
MP, 1, 168
MR, 1, 215
MC, 1, 0
MM, 1060, 320, 433
MM, 1033, 326, 4
MM, 1009, 333, 8
MM, 986, 338, 8
MM, 963, 343, 8
MM, 942, 350, 8
MM, 918, 356, 4
MM, 887, 366, 8
MM, 857, 374, 8
MM, 823, 384, 8
MM, 786, 392, 4
MM, 749, 402, 8
MM, 716, 408, 8
MM, 686, 414, 8
MM, 664, 417, 4
MM, 649, 421, 8
MM, 637, 421, 8
MM, 627, 421, 8
MM, 622, 421, 4
MM, 619, 421, 8
MM, 618, 421, 8
MM, 618, 420, 8
MM, 618, 420, 4
MM, 618, 420, 8
MM, 618, 418, 8
MM, 620, 415, 8
MM, 624, 411, 4
MM, 631, 403, 8
MM, 640, 394, 8
MM, 646, 388, 8
MM, 652, 383, 4
MM, 658, 380, 11
MM, 661, 378, 3
MM, 664, 376, 12
MM, 666, 376, 8
MM, 698, 357, 198
MM, 752, 323, 8
MM, 808, 291, 8
MM, 856, 260, 8
MM, 896, 236, 4
MM, 936, 211, 8
MM, 984, 178, 8
MM, 1031, 145, 8
MM, 1072, 115, 8
MM, 1113, 85, 4
MM, 1151, 56, 8
MM, 1186, 28, 8
MM, 1212, 7, 8
MM, 1234, -14, 8
MM, 1250, -16, 8
MM, 1265, -14, 4
MM, 1275, -11, 8
MM, 1278, -7, 4
MM, 1280, -5, 8
MM, 1280, -3, 8
MM, 1277, -2, 4
MM, 1271, -3, 8
MM, 1260, -2, 10
MM, 1247, -1, 5
MM, 1229, 0, 8
MM, 1208, -2, 8
MM, 1183, -1, 8
MM, 1161, -3, 4
MM, 1139, -4, 8
MM, 1116, -3, 8
MM, 1097, -3, 8
MM, 1078, -3, 4
MM, 1059, -3, 8
MM, 1041, 0, 8
MM, 1020, 0, 4
MM, 1000, 0, 8
MM, 982, 0, 8
MM, 967, 0, 8
MM, 952, -1, 4
MM, 940, 0, 8
MM, 930, 0, 8
MM, 923, 0, 8
MM, 916, 0, 8
MM, 914, 0, 4
MM, 912, 0, 10
MM, 911, 0, 8
MM, 900, 56, 250
MM, 870, 367, 20
MM, 870, 471, 8
MM, 872, 583, 8
MM, 877, 678, 4
MM, 884, 754, 8
MM, 887, 809, 8
MM, 887, 849, 8
MM, 889, 878, 8
MM, 889, 905, 8
MM, 886, 915, 266
MM, 879, 925, 4
MM, 872, 937, 8
MM, 866, 945, 8
MM, 861, 951, 8
MM, 856, 957, 4
MM, 853, 962, 8
MM, 849, 967, 8
MM, 847, 970, 8
MM, 843, 975, 16
MM, 839, 981, 6
MM, 835, 988, 4
MM, 830, 994, 8
MM, 828, 1000, 8
MM, 825, 1003, 8
MM, 823, 1006, 4
MM, 820, 1007, 8
MM, 819, 1009, 8
MM, 819, 1010, 8
MM, 819, 1010, 8
MM, 819, 1011, 4
MM, 818, 1011, 8
MM, 818, 1011, 8
MM, 817, 1011, 8
MM, 817, 1012, 4
MM, 817, 1013, 16
MM, 817, 1013, 4
MM, 817, 1013, 8
MM, 816, 1016, 8
MM, 816, 1018, 8
MM, 815, 1020, 8
MM, 814, 1024, 4
MM, 814, 1026, 10
MM, 813, 1029, 8
MM, 813, 1032, 4
MM, 814, 1037, 27
MM, 815, 1040, 3
MM, 816, 1043, 5
MM, 816, 1045, 8
MM, 818, 1046, 8
MM, 819, 1049, 8
MM, 820, 1050, 4
MM, 820, 1051, 7
MM, 820, 1051, 9
MM, 820, 1052, 8
MM, 821, 1053, 12
MM, 821, 1053, 8
MM, 822, 1054, 8
MM, 822, 1055, 18
MM, 822, 1056, 16
MM, 815, 1056, 2404
MM, 805, 1056, 8
MM, 796, 1057, 4
MM, 788, 1058, 8
MM, 781, 1058, 8
MM, 772, 1060, 8
MM, 764, 1062, 8
MM, 757, 1063, 4
MM, 750, 1064, 8
MM, 744, 1065, 8
MM, 737, 1066, 8
MM, 732, 1067, 4
MM, 726, 1070, 8
MM, 720, 1072, 8
MM, 715, 1073, 8
MM, 711, 1075, 4
MM, 707, 1077, 9
MM, 704, 1078, 8
MM, 702, 1080, 4
MM, 701, 1080, 8
MM, 699, 1080, 8
MM, 697, 1079, 7
MM, 697, 1079, 7
MM, 696, 1079, 4
MM, 695, 1079, 16
MM, 694, 1079, 15
MM, 694, 1079, 16
MM, 693, 1079, 4
MM, 692, 1079, 16
MM, 692, 1079, 4
MM, 690, 1079, 8
MM, 689, 1079, 8
MM, 689, 1079, 8
MM, 688, 1079, 8
MM, 686, 1079, 2
MM, 686, 1079, 9
MM, 685, 1079, 8
MM, 684, 1079, 8
MM, 683, 1079, 4
MM, 682, 1079, 8
MM, 681, 1079, 8
MM, 681, 1079, 8
MM, 680, 1079, 4
MM, 679, 1079, 8
MM, 679, 1079, 8
MM, 677, 1079, 8
MM, 675, 1078, 12
MM, 674, 1078, 8
MM, 672, 1078, 8
MM, 671, 1077, 8
MM, 671, 1077, 6
MM, 670, 1076, 7
MM, 669, 1076, 8
MM, 668, 1076, 5
MM, 668, 1076, 8
MM, 668, 1075, 15
MM, 667, 1075, 6
MM, 666, 1075, 12
MM, 666, 1074, 8
MM, 666, 1074, 128
MM, 666, 1074, 8
MM, 667, 1073, 12
MM, 667, 1072, 17
MM, 667, 1072, 4
MM, 668, 1072, 8
MM, 669, 1071, 4
MM, 669, 1071, 17
MM, 670, 1071, 7
MM, 670, 1070, 5
MM, 670, 1070, 8
MM, 670, 1069, 8
MM, 671, 1069, 8
MM, 671, 1069, 14
MM, 672, 1069, 8
MM, 672, 1068, 4
MM, 672, 1068, 8
MM, 673, 1067, 16
MM, 674, 1066, 4
MM, 675, 1066, 8
MM, 677, 1066, 8
MM, 680, 1065, 8
MM, 683, 1064, 4
MM, 684, 1063, 9
MM, 686, 1062, 8
MM, 688, 1061, 6
MM, 689, 1061, 8
MM, 691, 1061, 5
MM, 694, 1061, 8
MM, 694, 1061, 8
MM, 695, 1061, 4
MM, 696, 1061, 8
MM, 696, 1060, 8
MM, 697, 1060, 7
MM, 698, 1060, 8
MM, 699, 1060, 12
MM, 699, 1060, 8
MM, 700, 1060, 8
MM, 701, 1060, 4
MM, 701, 1060, 8
MM, 702, 1060, 16
MM, 703, 1060, 5
MM, 703, 1060, 8
MM, 704, 1060, 23
MM, 705, 1060, 12
MM, 706, 1060, 16
MM, 706, 1050, 716
MM, 704, 1039, 8
MM, 703, 1029, 4
MM, 702, 1021, 8
MM, 702, 1014, 8
MM, 702, 1009, 8
MM, 702, 1005, 4
MM, 701, 1001, 8
MM, 701, 1000, 8
MM, 701, 998, 8
MM, 701, 996, 4
MM, 701, 994, 9
MM, 701, 993, 9
MM, 701, 992, 12
MM, 701, 992, 16
MM, 701, 991, 20
MM, 701, 990, 12
MM, 701, 989, 122
MP, 1, 237
MR, 1, 217
MC, 1, 0
MM, 714, 974, 523
MM, 740, 939, 8
MM, 756, 910, 5
MM, 765, 882, 8
MM, 771, 849, 7
MM, 771, 819, 8
MM, 770, 790, 8
MM, 760, 756, 5
MM, 749, 728, 7
MM, 733, 702, 9
MM, 711, 673, 7
MM, 689, 651, 4
MM, 659, 633, 12
MM, 623, 618, 4
MM, 587, 610, 4
MM, 551, 604, 8
MM, 522, 600, 8
MM, 493, 597, 9
MM, 471, 595, 4
MM, 456, 594, 8
MM, 446, 593, 8
MM, 441, 592, 8
MM, 438, 591, 7
MM, 437, 589, 5
MM, 423, 589, 304
MM, 406, 589, 5
MM, 389, 586, 7
MM, 372, 582, 8
MM, 362, 578, 8
MM, 351, 573, 8
MM, 345, 568, 5
MM, 336, 561, 7
MM, 332, 558, 9
MM, 326, 553, 7
MM, 323, 550, 5
MM, 320, 547, 9
MM, 317, 545, 4
MM, 316, 543, 8
MM, 315, 541, 8
MM, 314, 540, 8
MM, 313, 539, 4
MM, 313, 537, 8
MM, 312, 536, 14
MM, 311, 536, 16
MM, 311, 535, 12
MM, 310, 535, 22
MM, 309, 535, 12
MM, 308, 535, 16
MM, 308, 535, 23
MM, 307, 535, 13
MM, 306, 535, 7
MM, 306, 535, 14
MM, 305, 535, 8
MM, 304, 535, 4
MM, 303, 535, 8
MM, 300, 535, 8
MM, 298, 535, 8
MM, 298, 535, 4
MM, 296, 535, 8
MM, 295, 535, 8
