********************************************************************************
LOGGING TIME: 20201002_034950
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 1071, 1039, 1172
MM, 1077, 1010, 8
MM, 1078, 985, 8
MM, 1078, 963, 8
MM, 1074, 935, 4
MM, 1066, 901, 8
MM, 1052, 866, 8
MM, 1032, 827, 9
MM, 999, 779, 4
MM, 960, 727, 8
MM, 915, 672, 8
MM, 864, 620, 4
MM, 805, 566, 8
MM, 733, 501, 8
MM, 654, 439, 8
MM, 579, 377, 4
MM, 514, 325, 8
MM, 447, 281, 8
MM, 393, 247, 8
MM, 340, 218, 4
MM, 303, 199, 8
MM, 274, 183, 8
MM, 252, 173, 8
MM, 238, 163, 8
MM, 227, 156, 4
MM, 220, 148, 8
MM, 217, 143, 8
MM, 213, 137, 8
MM, 240, 109, 333
MM, 295, 67, 8
MM, 349, 27, 8
MM, 473, -32, 12
MM, 533, -32, 8
MM, 596, -31, 8
MM, 654, -19, 8
MM, 712, -19, 4
MM, 779, -15, 8
MM, 842, -12, 8
MM, 901, -7, 8
MM, 960, -5, 4
MM, 1011, -2, 8
MM, 1056, 1, 8
MM, 1097, 3, 8
MM, 1130, 9, 4
MM, 1170, 15, 8
MM, 1209, 23, 8
MM, 1244, 33, 8
MM, 1256, 40, 4
MM, 1262, 45, 8
MM, 1264, 48, 9
MM, 1266, 53, 15
MM, 1294, 38, 244
MM, 1337, 16, 8
MM, 1377, -7, 4
MM, 1419, -20, 8
MM, 1458, -17, 8
MM, 1497, -17, 8
MM, 1529, -12, 4
MM, 1570, -15, 8
MM, 1603, -6, 8
MM, 1625, -3, 8
MM, 1644, 0, 5
MM, 1660, 0, 7
MM, 1675, 3, 8
MM, 1691, 7, 8
MM, 1704, 10, 4
MM, 1715, 12, 8
MM, 1725, 15, 8
MM, 1735, 19, 8
MM, 1746, 20, 4
MM, 1753, 23, 8
MM, 1762, 25, 8
MM, 1769, 27, 8
MM, 1777, 29, 4
MM, 1786, 31, 8
MM, 1797, 35, 8
MM, 1807, 38, 8
MM, 1816, 40, 4
MM, 1822, 44, 8
MM, 1827, 47, 8
MM, 1832, 49, 8
MM, 1834, 51, 4
MM, 1836, 53, 8
MM, 1838, 55, 8
MM, 1839, 56, 8
MM, 1839, 57, 4
MM, 1840, 58, 8
MM, 1840, 59, 8
MM, 1840, 59, 245
MM, 1840, 59, 7
MM, 1840, 57, 9
MM, 1838, 56, 7
MM, 1838, 54, 5
MM, 1837, 51, 8
MM, 1837, 49, 7
MM, 1837, 47, 9
MM, 1837, 43, 3
MM, 1838, 41, 8
MM, 1839, 38, 9
MM, 1839, 36, 8
MM, 1841, 34, 7
MM, 1842, 33, 6
MM, 1845, 32, 8
MM, 1847, 30, 4
MM, 1851, 29, 8
MM, 1854, 29, 8
MM, 1856, 28, 8
MM, 1860, 28, 4
MM, 1863, 27, 8
MM, 1865, 27, 8
MM, 1868, 27, 8
MM, 1870, 26, 4
MM, 1871, 26, 8
MM, 1873, 25, 8
MM, 1874, 25, 12
MM, 1875, 25, 8
MM, 1875, 25, 8
MM, 1875, 24, 8
MM, 1876, 24, 4
MM, 1876, 23, 8
MM, 1877, 23, 8
MM, 1877, 23, 12
MM, 1878, 23, 85
MM, 1879, 23, 56
MM, 1880, 23, 16
MM, 1880, 23, 20
MM, 1881, 24, 12
MM, 1882, 24, 16
MM, 1882, 24, 8
MM, 1882, 25, 12
MP, 1, 240
MR, 1, 216
MC, 1, 0
MM, 1857, 35, 640
MM, 1807, 44, 8
MM, 1765, 50, 4
MM, 1709, 55, 8
MM, 1651, 60, 8
MM, 1593, 62, 8
MM, 1535, 64, 4
MM, 1480, 67, 8
MM, 1422, 69, 8
MM, 1368, 69, 8
MM, 1312, 76, 4
MM, 1260, 81, 8
MM, 1211, 87, 8
MM, 1171, 93, 8
MM, 1144, 101, 4
MM, 1125, 104, 8
MM, 1112, 108, 8
MM, 1101, 110, 8
MM, 1096, 113, 4
MM, 1094, 113, 8
MM, 1092, 114, 8
MM, 1091, 114, 8
MM, 1095, 108, 272
MM, 1104, 97, 8
MM, 1113, 88, 8
MM, 1119, 82, 4
MM, 1125, 77, 8
MM, 1131, 75, 8
MM, 1136, 72, 8
MM, 1142, 69, 4
MM, 1148, 68, 8
MM, 1155, 67, 8
MM, 1160, 67, 8
MM, 1167, 67, 4
MM, 1175, 67, 8
MM, 1182, 67, 8
MM, 1192, 68, 8
MM, 1204, 69, 4
MM, 1214, 71, 8
MM, 1226, 73, 8
MM, 1235, 75, 8
MM, 1242, 76, 4
MM, 1247, 76, 8
MM, 1251, 77, 8
MM, 1255, 78, 8
MM, 1256, 79, 4
MM, 1258, 79, 8
MM, 1260, 79, 8
MM, 1261, 80, 8
MM, 1263, 80, 6
MM, 1264, 80, 14
MM, 1264, 80, 23
MM, 1264, 81, 13
MM, 1264, 82, 20
MM, 1264, 95, 504
MM, 1264, 118, 8
MM, 1266, 153, 8
MM, 1268, 184, 8
MM, 1269, 209, 4
MM, 1274, 232, 8
MM, 1276, 254, 8
MM, 1276, 281, 8
MM, 1277, 306, 4
MM, 1277, 333, 8
MM, 1279, 362, 8
MM, 1279, 396, 8
MM, 1279, 426, 4
MM, 1281, 458, 8
MM, 1283, 486, 8
MM, 1284, 508, 8
MM, 1284, 526, 4
MM, 1286, 539, 8
MM, 1287, 553, 8
MM, 1287, 563, 8
MM, 1287, 568, 4
MM, 1287, 570, 8
MM, 1287, 572, 8
MM, 1287, 574, 8
MM, 1287, 574, 4
MM, 1287, 575, 16
MM, 1286, 585, 2694
MM, 1281, 605, 8
MM, 1280, 618, 8
MM, 1280, 630, 4
MM, 1280, 640, 8
MM, 1283, 647, 8
MM, 1286, 654, 8
MM, 1290, 660, 0
MM, 1294, 664, 8
MM, 1298, 666, 8
MM, 1306, 668, 8
MM, 1312, 668, 8
MM, 1323, 668, 8
MM, 1336, 665, 8
MM, 1348, 662, 8
MM, 1362, 657, 0
MM, 1376, 653, 8
MM, 1391, 644, 8
MM, 1404, 639, 8
MM, 1414, 635, 8
MM, 1423, 631, 8
MM, 1432, 626, 8
MM, 1440, 621, 8
MM, 1447, 618, 0
MM, 1451, 616, 8
MM, 1455, 614, 8
MM, 1457, 612, 8
MM, 1459, 612, 8
MM, 1460, 610, 8
MM, 1462, 609, 8
MM, 1463, 608, 8
MM, 1464, 607, 7
MM, 1464, 607, 13
MM, 1464, 607, 8
MM, 1464, 606, 13
MM, 1464, 606, 3040
MM, 1467, 579, 452
MM, 1481, 521, 8
MM, 1496, 458, 8
MM, 1513, 400, 8
MM, 1527, 346, 8
MM, 1544, 289, 4
MM, 1569, 224, 8
MM, 1588, 166, 8
MM, 1613, 107, 8
MM, 1634, 55, 4
MM, 1655, 6, 8
MM, 1677, -37, 8
MM, 1694, -32, 8
MM, 1711, -27, 4
MM, 1723, -20, 8
MM, 1736, -21, 8
MM, 1746, -11, 8
MM, 1752, -9, 8
MM, 1758, -5, 4
MM, 1760, -2, 8
MM, 1762, -1, 8
MM, 1765, -1, 4
MM, 1765, 0, 8
MM, 1765, -1, 8
MM, 1766, 0, 8
MM, 1766, 0, 20
MM, 1766, 1, 16
MM, 1765, 4, 4
MM, 1763, 8, 8
MM, 1758, 16, 8
MM, 1753, 23, 8
MM, 1748, 34, 4
MM, 1740, 41, 9
MM, 1737, 47, 7
MM, 1732, 55, 8
MM, 1730, 59, 4
MM, 1728, 61, 8
MM, 1726, 63, 8
MM, 1726, 63, 8
MM, 1725, 63, 4
MM, 1725, 64, 8
MM, 1725, 64, 44
MM, 1726, 64, 4
MM, 1727, 63, 8
MM, 1729, 63, 8
MM, 1731, 60, 8
MM, 1733, 58, 4
MM, 1735, 56, 8
MM, 1736, 54, 8
MM, 1739, 53, 8
MM, 1740, 51, 4
MM, 1742, 50, 8
MM, 1744, 48, 8
MM, 1744, 47, 8
MM, 1746, 45, 4
MM, 1748, 44, 8
