********************************************************************************
LOGGING TIME: 20201002_221020
CLIENT IP: 192.168.43.110
USERNAME: window love
OS: Windows 10
ARCHITECTURE: amd64
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 557, 336, 1602022801649
MM, 557, 338, 7
MM, 558, 340, 7
MM, 560, 342, 7
MM, 561, 345, 7
MM, 563, 349, 6
MM, 566, 352, 7
MM, 568, 355, 7
MM, 570, 359, 0
MM, 573, 362, 14
MM, 575, 366, 7
MM, 578, 370, 6
MM, 581, 374, 7
MM, 585, 380, 6
MM, 590, 388, 7
MM, 595, 395, 8
MM, 600, 401, 7
MM, 604, 407, 3
MM, 611, 413, 10
MM, 618, 421, 7
MM, 626, 428, 7
MM, 634, 434, 1
MM, 641, 440, 0
MM, 649, 447, 19
MM, 655, 453, 7
MM, 663, 462, 7
MM, 671, 470, 6
MM, 679, 478, 7
MM, 686, 486, 7
MM, 694, 492, 7
MM, 703, 497, 7
MM, 710, 501, 7
MM, 720, 506, 6
MM, 728, 508, 7
MM, 737, 512, 7
MM, 744, 515, 7
MM, 752, 517, 7
MM, 759, 519, 7
MM, 766, 522, 7
MM, 771, 523, 7
MM, 777, 524, 6
MM, 782, 525, 7
MM, 786, 526, 7
MM, 792, 527, 6
MM, 797, 527, 7
MM, 802, 528, 6
MM, 808, 528, 1
MM, 811, 528, 0
MM, 817, 527, 20
MM, 820, 527, 7
MM, 823, 525, 5
MM, 826, 525, 9
MM, 828, 524, 6
MM, 830, 523, 7
MM, 832, 521, 7
MM, 840, 519, 253
MM, 850, 517, 7
MM, 859, 515, 6
MM, 868, 514, 7
MM, 875, 511, 7
MM, 881, 511, 7
MM, 889, 510, 7
MM, 894, 509, 6
MM, 901, 508, 7
MM, 905, 507, 7
MM, 909, 507, 7
MM, 915, 506, 6
MM, 919, 506, 8
MM, 924, 506, 6
MM, 931, 506, 7
MM, 937, 506, 7
MM, 941, 505, 6
MM, 946, 505, 7
MM, 950, 505, 8
MM, 954, 505, 6
MM, 959, 505, 7
MM, 962, 504, 7
MM, 963, 503, 6
MM, 965, 502, 7
MM, 967, 501, 7
MM, 968, 501, 7
MM, 968, 501, 7
MM, 969, 501, 7
MM, 970, 501, 6
MM, 970, 500, 7
MM, 970, 500, 7
MM, 972, 499, 7
MM, 973, 499, 1
MM, 974, 498, 12
MM, 975, 498, 7
MM, 977, 497, 7
MM, 979, 497, 7
MM, 981, 496, 6
MM, 982, 495, 7
MM, 984, 494, 7
MM, 986, 493, 7
MM, 987, 492, 7
MM, 988, 492, 7
MM, 989, 492, 7
MM, 989, 491, 6
MM, 990, 490, 8
MM, 990, 490, 6
MM, 992, 489, 14
MM, 994, 487, 7
MM, 995, 486, 6
MM, 999, 484, 7
MM, 1002, 482, 7
MM, 1005, 480, 7
MM, 1008, 479, 7
MM, 1009, 478, 7
MM, 1011, 476, 7
MM, 1012, 475, 6
MM, 1013, 474, 7
