********************************************************************************
LOGGING TIME: 20201020_131224
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
**********************************Emotional database********************************************************************************
MM, 472, 393, 1602022801828
MM, 206, 82, 22
MM, 203, 76, 12
MM, 199, 69, 4
MM, 196, 62, 9
MM, 191, 56, 7
MM, 188, 51, 8
MM, 185, 47, 8
MM, 182, 42, 8
MM, 179, 39, 8
MM, 176, 35, 8
MM, 173, 32, 8
MM, 170, 27, 8
MM, 167, 25, 8
MM, 163, 20, 8
MM, 160, 15, 8
MM, 157, 11, 8
MM, 152, 8, 8
MM, 149, 3, 8
MM, 400, 288, 8
MM, 398, 285, 8
MM, 395, 282, 8
MM, 393, 279, 8
MM, 392, 278, 8
MM, 391, 277, 8
MM, 391, 276, 8
MM, 388, 274, 8
MM, 386, 271, 8
MM, 384, 270, 8
MM, 383, 268, 16
MM, 382, 268, 88
MM, 381, 268, 9
MM, 380, 268, 7
MM, 379, 268, 8
MM, 378, 268, 17
MM, 377, 268, 6
MM, 375, 268, 17
MM, 375, 270, 9
MM, 374, 270, 7
MM, 374, 271, 8
MM, 373, 272, 8
MM, 372, 273, 8
MM, 371, 274, 8
MM, 371, 275, 8
MM, 370, 278, 8
MM, 368, 281, 8
MM, 368, 283, 8
MM, 365, 288, 8
MM, 108, 1, 8
MM, 105, 6, 8
MM, 103, 10, 8
MM, 102, 13, 8
MM, 101, 14, 8
MM, 100, 15, 8
MM, 99, 15, 40
MM, 97, 10, 8
MM, 97, 4, 8
MM, 352, 286, 8
MM, 350, 275, 24
MM, 346, 253, 1
MM, 346, 176, 63
MM, 348, 173, 9
MM, 348, 169, 7
MM, 349, 168, 8
MM, 349, 167, 8
MM, 346, 167, 40
MM, 342, 165, 8
MM, 339, 164, 8
MM, 335, 164, 8
MM, 331, 162, 8
MM, 326, 161, 8
MM, 325, 161, 8
MM, 322, 158, 8
MM, 321, 157, 16
MM, 320, 156, 8
MM, 319, 155, 8
MM, 318, 152, 8
MM, 318, 151, 8
MM, 318, 150, 8
MM, 318, 149, 8
MM, 318, 148, 8
MM, 318, 145, 16
MM, 316, 143, 8
MM, 316, 141, 8
MM, 314, 139, 8
MM, 313, 138, 8
MM, 312, 137, 8
MM, 312, 136, 9
MM, 312, 134, 8
MM, 310, 133, 8
MM, 309, 131, 16
MM, 308, 130, 7
MM, 307, 128, 9
MM, 306, 127, 7
MM, 305, 126, 9
MM, 302, 125, 8
MM, 301, 124, 7
MM, 300, 124, 8
MM, 297, 123, 8
MM, 296, 121, 16
MM, 295, 121, 9
MM, 294, 121, 63
MM, 294, 120, 24
MM, 294, 119, 56
MM, 333, 115, 64
MM, 342, 115, 8
MM, 352, 115, 8
MM, 363, 115, 8
MM, 368, 114, 8
MM, 374, 114, 7
MM, 380, 112, 8
MM, 382, 112, 8
MM, 385, 111, 8
MM, 386, 111, 9
MM, 387, 111, 8
MM, 389, 111, 16
MM, 390, 111, 8
MM, 392, 111, 7
MM, 396, 111, 8
MM, 402, 109, 8
MM, 468, 107, 113
MM, 475, 108, 8
MM, 479, 108, 8
MM, 485, 108, 8
MM, 487, 108, 8
MM, 490, 108, 7
MM, 489, 108, 281
MM, 488, 108, 8
MM, 485, 108, 8
MM, 481, 108, 8
MM, 478, 108, 8
MM, 474, 108, 8
MM, 468, 108, 8
MM, 440, 120, 576
MM, 439, 124, 8
MM, 437, 129, 8
MM, 437, 131, 8
MM, 436, 136, 8
MM, 436, 142, 7
MM, 434, 148, 9
MM, 433, 154, 8
MM, 433, 160, 8
MM, 429, 172, 8
MM, 415, 255, 48
MM, 411, 269, 8
MM, 407, 283, 8
MM, 151, 3, 8
MM, 149, 12, 8
MM, 147, 21, 8
MM, 146, 25, 9
MM, 146, 27, 7
MM, 145, 30, 8
MM, 143, 33, 8
MM, 143, 36, 9
MM, 142, 37, 7
MM, 142, 38, 8
MM, 141, 39, 8
MM, 141, 40, 8
MM, 141, 41, 17
MM, 140, 41, 15
MM, 140, 42, 8
MM, 140, 43, 24
MM, 140, 45, 8
MM, 140, 46, 9
MM, 140, 47, 7
MM, 140, 49, 8
MM, 139, 49, 8
MM, 138, 50, 8
MM, 138, 52, 9
MM, 138, 53, 7
MC, 1, 192
MM, 139, 53, 28824
MM, 139, 54, 72
MM, 139, 56, 8
MM, 139, 64, 8
MM, 134, 79, 8
MM, 388, 381, 8
MM, 388, 389, 8
MM, 388, 397, 8
MM, 388, 403, 8
MM, 388, 409, 8
MM, 388, 415, 8
MM, 132, 1, 8
MM, 132, 4, 8
MM, 132, 8, 8
MM, 132, 12, 8
MM, 132, 15, 8
MM, 131, 18, 8
MM, 128, 22, 20
MM, 125, 23, 1
MM, 123, 28, 3
MM, 121, 29, 8
MM, 119, 29, 8
MM, 118, 29, 8
MM, 118, 30, 8
MM, 117, 30, 8
MM, 117, 31, 8
MM, 116, 31, 15
MC, 1, 193
MM, 116, 33, 48
MM, 115, 37, 8
MM, 113, 43, 9
MM, 113, 53, 7
MM, 113, 62, 8
MM, 113, 73, 8
MM, 109, 84, 8
MM, 364, 513, 8
MM, 362, 521, 8
MM, 359, 526, 8
MM, 338, 541, 144
MM, 336, 543, 8
MM, 333, 544, 8
MM, 330, 546, 8
MM, 30, 19, 8
MM, 29, 19, 8
MM, 28, 19, 8
MM, 27, 19, 24
MM, 27, 20, 64
MM, 27, 21, 17
MM, 28, 21, 7
MM, 29, 21, 8
MM, 30, 21, 8
MM, 332, 549, 8
MM, 333, 549, 8
MM, 335, 549, 8
MM, 338, 549, 8
MM, 340, 549, 8
MM, 367, 559, 592
MM, 376, 566, 8
MM, 11, 7, 8
MM, 22, 13, 8
MM, 419, 589, 8
MM, 436, 597, 8
MM, 461, 611, 8
MM, 16, 18, 8
MM, 509, 634, 8
MM, 525, 638, 8
MM, 11, 8, 9
MM, 23, 14, 7
MM, 34, 18, 8
MM, 2, 19, 8
MM, 8, 21, 8
MM, 11, 22, 8
MM, 14, 24, 8
MM, 15, 24, 65
MM, 20, 25, 7
MM, 26, 25, 9
MM, 32, 25, 7
MM, 36, 25, 8
MM, 616, 664, 8
MM, 618, 664, 8
MM, 1, 25, 8
MM, 3, 25, 8
MM, 6, 25, 16
MM, 7, 25, 8
MM, 8, 25, 8
MM, 9, 25, 8
MM, 12, 25, 8
MM, 13, 25, 16
MM, 14, 25, 8
MM, 15, 25, 16
MM, 16, 25, 8
MM, 19, 25, 15
MM, 23, 25, 9
MM, 27, 25, 8
MM, 653, 664, 8
MM, 0, 25, 8
MM, 6, 25, 8
MM, 9, 25, 7
MM, 10, 25, 9
MM, 11, 25, 7
MM, 11, 24, 64
MM, 12, 24, 33
MM, 12, 23, 15
MM, 14, 23, 9
MM, 14, 21, 8
MM, 16, 20, 8
MM, 17, 20, 7
MM, 18, 20, 9
MM, 19, 19, 8
MM, 21, 18, 8
MM, 21, 17, 16
MM, 20, 17, 64
MM, 9, 19, 112
MM, 1, 19, 8
MM, 29, 20, 9
MM, 18, 20, 7
MM, 2, 22, 8
MM, 31, 22, 8
MM, 12, 22, 8
MM, 29, 22, 8
MM, 3, 22, 8
MM, 20, 21, 8
MM, 492, 660, 8
MM, 19, 21, 8
MM, 5, 22, 8
MM, 448, 660, 9
MM, 30, 21, 7
MM, 27, 21, 8
MM, 26, 21, 8
MM, 25, 21, 8
MM, 24, 22, 64
MM, 24, 24, 16
MM, 24, 25, 24
MM, 23, 25, 16
MM, 21, 26, 7
MM, 21, 28, 17
MM, 20, 28, 8
MM, 20, 29, 8
MM, 433, 671, 9
MM, 433, 672, 8
MM, 433, 673, 7
MM, 433, 674, 8
MM, 28, 0, 8
MM, 28, 1, 9
MM, 28, 2, 7
MM, 29, 3, 8
MM, 30, 4, 8
MM, 32, 5, 9
MM, 33, 6, 7
MM, 35, 6, 8
MM, 36, 7, 8
MM, 37, 7, 8
MM, 39, 7, 8
MM, 40, 9, 16
MM, 41, 9, 8
MM, 42, 10, 8
MM, 43, 10, 16
MM, 44, 11, 312
MM, 45, 11, 8
MM, 47, 8, 8
MM, 51, 7, 9
MM, 54, 5, 7
MM, 60, 0, 8
MM, 470, 673, 8
MM, 473, 671, 8
MM, 22, 29, 8
MM, 24, 26, 8
MM, 26, 23, 9
MM, 27, 23, 7
MM, 28, 22, 8
MM, 29, 21, 8
MM, 32, 20, 8
MM, 487, 659, 8
MM, 488, 658, 16
MM, 490, 658, 8
MM, 0, 19, 8
MM, 2, 19, 8
MM, 5, 19, 16
MM, 6, 19, 8
MM, 7, 19, 24
MM, 8, 19, 40
MM, 10, 19, 24
MM, 11, 19, 8
MM, 11, 17, 8
MM, 12, 17, 8
MM, 12, 16, 8
MM, 13, 16, 16
MM, 14, 16, 16
MM, 15, 16, 16
MM, 16, 16, 16
MC, 1, 160
MM, 20, 16, 15
MM, 26, 16, 9
MM, 529, 655, 8
MM, 12, 15, 8
MM, 33, 13, 8
MM, 19, 13, 8
MM, 0, 13, 8
MM, 22, 11, 8
MM, 6, 9, 8
MM, 23, 3, 23
MM, 696, 633, 2
MM, 700, 630, 7
MM, 702, 625, 8
MM, 702, 624, 8
MM, 702, 623, 8
MM, 702, 622, 8
MM, 702, 621, 16
MM, 700, 621, 136
MM, 699, 621, 24
MM, 698, 621, 8
MM, 697, 621, 8
MM, 696, 621, 17
MM, 695, 621, 7
MM, 694, 621, 16
MM, 28, 18, 8
MM, 27, 16, 8
MM, 24, 15, 8
MM, 22, 15, 8
MM, 21, 15, 8
MM, 18, 15, 8
MM, 16, 15, 7
MM, 13, 15, 9
MM, 12, 14, 8
MM, 11, 14, 7
MM, 10, 14, 9
MM, 9, 14, 16
MC, 1, 225
MM, 9, 17, 16
MM, 9, 19, 7
MM, 7, 24, 8
MM, 6, 25, 8
MM, 3, 27, 8
MM, 1, 30, 8
MM, 659, 632, 8
MM, 655, 634, 8
MM, 647, 634, 8
MM, 641, 634, 8
MM, 633, 634, 8
MM, 622, 634, 8
MM, 614, 633, 8
MM, 11, 27, 8
MM, 33, 20, 8
MM, 11, 11, 8
MM, 32, 7, 8
MM, 514, 600, 8
MM, 505, 597, 8
MM, 2, 30, 8
MM, 496, 592, 8
